EduVision STQA – GUI-Reproducible Bug Register (New Findings),,,,,,,,,,
,,,,,,,,,,
Bug ID,Severity,Risk Score,Module,Bug Title,Description,Impact,Frontend Reproduction Steps,Expected Result,Actual Result,Fix Priority
AUTH-006,Critical,10,Evaluation,Question-level grade override endpoint has zero authentication,"QuestionEvaluationViewSet defines no permission_classes/authentication_classes, and the global DRF default is AllowAny; the override_marks action registers a live PATCH route despite the base ReadOnlyModelViewSet.",Any unauthenticated actor can permanently overwrite any student's question-level marks and feedback and force score recalculation.,"Precondition: Know or enumerate a QuestionEvaluation id (visible in any evaluated script's report response).
1. Log out of the application completely (or use a private browsing window with no session).
2. Open browser dev tools / Postman and send PATCH /api/evaluation/evaluations/<id>/override_marks/ with body {""method_marks_awarded"": 999} and no Authorization header.
3. Observe the response returns 200 OK with the updated evaluation.
4. As a teacher, open the corresponding script's report in the GUI and confirm the marks have changed.",The request should be rejected with 401 Unauthorized since no credentials were supplied.,The grade override succeeds and the script totals are recalculated with no authentication check.,P0 - Immediate
SCH-003,Critical,10,School,Class/Section/Subject/Teacher/Student profile CRUD endpoints have no permission classes,"ClassListCreateView, SectionListCreateView, TeacherProfile and StudentProfile views, SubjectListCreateView, and TeacherSubjectAssignment views declare no permission_classes, falling back to the global AllowAny default.","Any unauthenticated actor can read and write full student PII (address, guardian names/phone, blood group, DOB) and create/delete classes, sections, subjects, and teacher-subject assignments.","Precondition: None — no login required.
1. Open a private browsing window (no session cookies) and, using a REST client, send GET /api/school/students/.
2. Observe the response 200 OK with a full list of student profiles including addresses and guardian phone numbers.
3. Send PATCH /api/school/students/<user_id>/ with a modified address field.
4. Log in as the affected student in the GUI and view their profile — observe the address has changed despite no authenticated request being made.",All requests without a valid Authorization header should return 401 Unauthorized.,Full CRUD access is granted with no credentials.,P0 - Immediate
RUB-007,Critical,10,Rubrics,RubricSetViewSet has no permission classes — full CRUD/publish/archive unauthenticated,"RubricSetViewSet sets no permission_classes, relying on the global AllowAny default; the frontend rubrics API client also never attaches an Authorization header for any rubric call.","Any unauthenticated actor can create, edit, delete, publish, or archive grading rubrics that directly determine how student answer scripts are scored.","Precondition: None — no login required.
1. In a private browsing window, use a REST client to send DELETE /api/rubric-sets/<id>/ for a known draft rubric set id.
2. Observe 204 No Content.
3. Log in as the owning teacher in the GUI and navigate to the Rubrics page — observe the rubric set is gone.",The delete should be rejected with 401 Unauthorized.,The rubric set is deleted with no authentication.,P0 - Immediate
CONT-008,Critical,10,Content Generation,Content download endpoint skips the ownership check its sibling endpoint enforces,"download_generated_content_view is decorated only with IsAuthenticated and never calls the _user_can_view_request() helper before serving the file, whereas the equivalent GeneratedContentView.get explicitly checks it.",Any authenticated user can download any other user's generated PDF/worksheet content by supplying an arbitrary request_id in the URL.,"Precondition: Log in as Student A; know or enumerate a request_id UUID belonging to Student B (e.g. from network traffic or a shared class discussion).
1. Log in as Student A in the GUI.
2. Using browser dev tools, send GET /api/content-requests/<Student B's request_id>/download/?format=pdf with Student A's Bearer token.
3. Observe the response is 200 OK and returns Student B's generated worksheet file.",The response should be 404 Not Found since Student A does not own that content request.,The file downloads successfully regardless of ownership.,P0 - Immediate
EVAL-008,Critical,10,Evaluation,Student role bypasses answer-script scoping in AnswerScriptViewSet,"AnswerScriptViewSet.get_queryset() only applies a scoping filter when user.role == ""teacher""; for the student role the branch is skipped entirely and the unfiltered queryset is returned as-is.","Any authenticated student can list and view every student's uploaded answer scripts, grades, feedback, and identified mistakes via the generic scripts endpoint, not just their own.","Precondition: Log in as a student account.
1. Log in as any student.
2. Using dev tools with the student's Bearer token, send GET /api/evaluation/scripts/.
3. Observe the response includes answer scripts belonging to other students across other sections, including scores and feedback.
4. Send GET /api/evaluation/scripts/<other student's script id>/report/ and observe full grading detail is returned.",A student querying this endpoint should see only their own scripts (or receive 403 Forbidden).,All scripts in the system are returned regardless of ownership.,P0 - Immediate
AUTH-007,High,7,Authentication,Rotated refresh tokens are never blacklisted allowing replay after rotation or logout,"SIMPLE_JWT sets ROTATE_REFRESH_TOKENS: True but rest_framework_simplejwt.token_blacklist is absent from INSTALLED_APPS, and LogoutView/RefreshView only clear/rotate the cookie client-side without invalidating the old token server-side.",A stolen or previously-issued refresh token remains valid for its full 7-day lifetime even after the legitimate user logs out or the token is rotated.,"Precondition: Capture the refresh_token cookie value via browser dev tools after logging in.
1. Log in normally and copy the refresh_token cookie value from DevTools > Application > Cookies.
2. Click Logout in the GUI.
3. Using a REST client, POST to /api/auth/refresh/ sending the captured (logged-out) cookie value directly.
4. Observe a new valid access token is still issued.",The refresh token should be rejected after logout since the session was terminated.,The old refresh token continues to mint new access tokens.,P1 - This sprint
CONT-010,High,7,Content Generation,Study plan and study plan item detail/update/delete actions bypass user-scoped queryset,"StudyPlanViewSet.list() and StudyPlanItemViewSet.list() correctly scope by user, but retrieve/partial_update/destroy/add_item/mark_complete/link_request all fetch the object via get_object_or_404 directly, bypassing the ownership filter entirely.","Any authenticated user can view, edit, delete, mark-complete, or attach content-request links to another user's private study plan and its items by supplying a known/guessed id.","Precondition: Log in as User A and User B in two separate browser sessions; User B has created a study plan.
1. As User B, create a study plan via the Study Plans page and note its id from the network response.
2. As User A, open dev tools and send DELETE /study-plans/<User B's plan id>/.
3. Observe 204 No Content.
4. As User B, refresh the Study Plans page — observe the plan has disappeared.",User A's request should return 404 Not Found since the plan does not belong to them.,User A can delete (or edit/complete) User B's study plan.,P1 - This sprint
CONT-011,High,7,Content Generation,Learning context endpoint has no ownership check on content_request_id,LearningContextView.post/.get only requires IsAuthenticated and never verifies that request_id belongs to request.user before reading or writing personalization context data.,Any authenticated user can read or overwrite another user's personalization inputs (weaknesses/goals/notes) for any content request by guessing its UUID.,"Precondition: Know another user's content request id (e.g. from a shared classroom discussion or network capture).
1. Log in as an unrelated user.
2. Send POST /api/content-requests/<other user's request_id>/context/ with {""notes"": ""tampered""}.
3. Observe 200 OK/201 Created.
4. As the content request's real owner, open the content generation flow and observe the learning context notes have been overwritten.",The request should return 403 Forbidden/404 Not Found for a request_id the caller does not own.,The context is read/overwritten with no ownership validation.,P1 - This sprint
CUR-008,High,7,Curriculum,Topic progress update and difficulty flagging accept any topic id with no enrollment check,"progress_service.update_topic_progress and difficulty_service.flag_topic fetch the CourseTopic by raw pk and write progress/difficulty data without calling the enrollment check (_can_view_outline) that guards the read-side endpoints.","Any authenticated student can mark topics from courses they are not enrolled in as completed or flag them as difficult, polluting another section's teacher-facing analytics.","Precondition: Log in as a student who is not enrolled in Course X's section; know a topic_id belonging to Course X.
1. Log in as the unrelated student.
2. Send POST /api/curriculum/topics/<Course X topic_id>/progress/ with {""status"": ""completed""}.
3. Observe 200 OK.
4. As the teacher of Course X, open the Difficulty Report / progress dashboard and observe the unrelated student's progress entry appears for a course they never enrolled in.",The request should be rejected with 403 Forbidden since the student is not enrolled in that course's section.,The progress/flag record is created for any topic id regardless of enrollment.,P1 - This sprint
WB-002,High,7,Whiteboard,Handwriting-to-LaTeX and equation-solver endpoints are completely unauthenticated,"convert_to_latex and evaluate_equation are plain csrf_exempt Django function views that bypass the DRF permission stack entirely, and the frontend calls them with no Authorization header or credentials.",Any unauthenticated actor can repeatedly invoke the paid Gemini Vision API through these endpoints with no rate limiting or auth check.,"Precondition: None — no login required.
1. In a private browsing window with no session, use a REST client to POST a base64 PNG image to /api/whiteboard/convert/ with {""image"": ""data:image/png;base64,..."", ""type"": ""math""}.
2. Observe 200 OK with a LaTeX conversion result returned, with no authentication performed.
3. Script repeated calls in a loop to observe no throttling kicks in.",The endpoint should require authentication and apply rate limiting.,Unlimited unauthenticated access to the AI conversion feature is possible.,P1 - This sprint
